sqft,bedrooms,bathrooms,neighborhood,year_built,has_garden,floors,garage_capacity,condition,price
1660,5,3.0,Downtown,1955,1,1,0,3,660500.0
4572,2,3.0,Downtown,1983,1,3,1,3,1298200.0
3892,4,1.5,Urban,2012,1,1,0,3,934200.0
1266,5,2.0,Rural,1997,0,2,0,2,320100.0
4244,3,2.0,Urban,1972,1,1,1,1,936300.0
3971,4,4.0,Downtown,1962,1,2,0,5,1214800.0
3719,2,1.5,Rural,1996,1,2,3,5,609800.0
930,4,3.0,Suburb,1993,1,1,3,3,330600.0
2485,1,2.0,Downtown,1981,1,2,1,5,738900.0
1569,1,2.5,Rural,1975,1,1,2,4,297900.0
3191,5,2.0,Downtown,2002,1,2,2,2,1022600.0
3233,5,2.5,Suburb,1963,0,1,2,2,639800.0
1984,3,3.0,Suburb,2001,1,3,2,5,586900.0
4185,4,3.0,Rural,1985,1,2,0,3,653800.0
4917,1,3.0,Downtown,1957,0,3,2,4,1312400.0
3704,5,1.0,Suburb,1989,1,2,2,4,737500.0
1274,4,2.5,Urban,1971,1,1,2,3,484400.0
1882,5,1.5,Urban,1965,1,2,3,1,571300.0
3358,5,2.0,Urban,2009,0,2,3,2,877000.0
2847,1,2.0,Waterfront,2009,0,3,2,2,1008200.0
3547,1,2.0,Urban,1959,1,1,2,2,750600.0
1775,5,2.0,Suburb,1974,0,2,3,3,471400.0
2606,2,4.0,Waterfront,1980,1,1,1,2,1063100.0
989,5,1.5,Urban,1970,0,2,1,2,409500.0
3534,5,2.5,Suburb,1982,1,1,0,3,752000.0
3805,3,2.0,Rural,1980,0,1,2,3,536400.0
2699,3,1.5,Downtown,1970,0,3,2,3,786000.0
2067,3,1.5,Suburb,1985,1,1,0,3,435600.0
2328,2,3.5,Urban,2014,0,2,3,3,664500.0
4002,2,3.0,Suburb,1953,1,2,2,5,794800.0
4356,5,3.5,Suburb,2017,1,1,2,2,898800.0
4690,3,4.0,Urban,1953,1,1,0,2,1073400.0
1446,2,1.5,Rural,1958,1,2,2,4,304100.0
3688,1,2.0,Suburb,1979,0,1,2,3,677500.0
3235,5,2.5,Urban,1994,0,2,2,4,900900.0
1400,4,2.0,Suburb,1953,1,3,2,3,368400.0
3163,5,2.0,Urban,2018,1,1,2,4,879200.0
2861,4,2.0,Downtown,1972,1,1,1,5,901700.0
1041,3,2.5,Downtown,1965,1,1,2,3,492800.0
2841,4,2.5,Rural,1971,1,2,0,2,474500.0
3624,3,1.5,Suburb,2021,0,1,1,4,713100.0
3412,1,2.0,Urban,1997,1,1,0,4,789200.0
2163,4,2.5,Waterfront,2011,1,2,1,4,1020600.0
2278,5,2.5,Downtown,2009,1,3,1,1,836800.0
3356,3,1.5,Downtown,1954,1,1,2,4,934300.0
1575,5,2.5,Suburb,1956,0,1,2,2,411000.0
4814,2,1.0,Suburb,2000,0,3,1,3,870300.0
834,3,2.0,Suburb,2014,1,2,2,3,299400.0
3952,4,3.0,Suburb,1958,1,2,0,3,777900.0
2755,3,2.5,Rural,1994,1,2,0,4,498900.0
2385,5,2.0,Waterfront,1996,0,3,2,3,1062300.0
4743,1,2.5,Suburb,2016,0,2,2,2,816300.0
3873,3,2.5,Suburb,1973,1,2,2,4,757700.0
1821,4,3.0,Rural,1959,0,2,1,5,399700.0
4261,2,2.5,Waterfront,2022,1,2,2,2,1534900.0
3413,1,2.5,Urban,1997,1,1,2,3,789800.0
4643,2,2.0,Urban,1984,1,1,3,3,1070800.0
2300,3,1.5,Waterfront,2003,0,2,1,3,940400.0
961,5,2.0,Suburb,2020,1,1,2,3,374800.0
2781,5,2.0,Urban,1965,0,2,2,3,740400.0
1795,4,2.5,Rural,2002,0,1,3,1,344100.0
4142,5,2.0,Suburb,1989,0,2,1,5,873400.0
4598,1,2.0,Downtown,1969,0,1,2,3,1176400.0
2075,5,1.0,Downtown,2018,1,2,1,3,749200.0
1816,4,2.0,Suburb,1994,0,2,2,3,450900.0
1137,3,2.0,Suburb,1955,0,1,1,3,268900.0
1678,3,2.5,Urban,2018,1,2,0,3,511200.0
1876,5,1.0,Rural,1998,0,1,2,3,370600.0
4793,2,2.5,Suburb,1988,1,1,1,3,829100.0
1179,3,3.5,Suburb,1951,0,1,0,3,316300.0
1292,5,1.5,Suburb,1988,0,1,1,2,327700.0
2862,4,2.0,Downtown,1970,1,3,0,3,895000.0
4684,5,1.0,Suburb,1989,0,1,3,4,910800.0
864,3,2.5,Suburb,2003,1,2,2,2,329700.0
3368,4,2.5,Urban,1961,0,1,2,1,804100.0
2827,5,2.0,Downtown,1986,0,2,1,3,897300.0
3495,1,2.0,Suburb,1987,0,1,3,5,671600.0
2295,4,3.0,Rural,1964,0,2,1,4,425600.0
